qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
9000	8999.975	100	400000	0	93628788	24345227	1498699	0	0	0	0	0.007573	0.006082	0.014649	0.017364	0.023732	0.04388	0.10892	0.304593	327291	72709	0	1.04E+11	1.04E+11	51648.84945	9.128382687	74.970812
9100	9099.984	100	400000	0	93628762	24345219	1498698	0	0	0	0	0.007722	0.006202	0.014937	0.017692	0.024105	0.044843	0.11078	0.327558	327290	72710	0	1.04E+11	1.04E+11	52670.9721	9.350681358	78.61041724
9200	9199.98	100	400000	0	93628759	24345215	1498697	0	0	0	0	0.007839	0.006305	0.015137	0.017972	0.024582	0.045726	0.10997	0.318269	327289	72711	0	1.04E+11	1.04E+11	52625.11862	9.341974968	78.52870914
9300	9299.983	100	400000	0	93628754	24345215	1498697	0	0	0	0	0.008035	0.006466	0.015519	0.018407	0.025362	0.046652	0.112393	0.317039	327290	72710	0	1.04E+11	1.04E+11	52186.85633	9.378721175	81.17916659
9400	9398.99	99.9895	399958	0	93623879	24343866	1498550	0	42	0	0	0.008322	0.006712	0.01608	0.019074	0.026562	0.048152	0.11318	0.313417	327255	72745	0	1.04E+11	1.04E+11	51682.77857	9.799221007	81.18799774
9500	9495.842	99.9565	399826	0	93588361	24333427	1498044	0	174	0	0	0.00881	0.007154	0.016953	0.020261	0.028873	0.050567	0.116869	0.316618	327145	72855	0	1.04E+11	1.04E+11	53692.50717	10.14621233	85.62318462
9600	9590.885	99.90525	399621	0	93547480	24322396	1497337	0	379	0	0	0.009186	0.007445	0.017689	0.021144	0.030253	0.051544	0.116637	0.319106	326984	73016	0	1.04E+11	1.04E+11	53236.60484	10.11273668	85.41931668
9700	9686.327	99.85925	399437	0	93484900	24310459	1496627	0	563	0	0	0.009737	0.007909	0.018725	0.022619	0.031913	0.053578	0.119489	0.341828	326828	73172	0	1.04E+11	1.04E+11	56387.9761	10.41309072	91.52217123
9800	9775.482	99.75	399000	0	93384930	24279325	1495041	0	1000	0	0	0.010323	0.008524	0.019757	0.02379	0.03282	0.054585	0.117844	0.324067	326486	73514	0	1.04E+11	1.04E+11	56278.26416	10.33291918	88.78071995
9900	9819.742	99.1895	396758	0	92825515	24138664	1486759	0	3242	0	0	0.012191	0.010489	0.023122	0.0275	0.036488	0.059227	0.119143	0.325803	324678	75322	0	1.04E+11	1.04E+11	55743.53626	10.3564833	89.74715866
10000	9892.956	98.92975	395719	0	92547770	24057652	1482777	0	4281	0	0	0.013221	0.011668	0.024413	0.028799	0.037332	0.059704	0.122447	0.342723	323787	76213	0	1.04E+11	1.04E+11	55265.92713	10.90151151	92.54089276
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Perf	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
2000	1999.999	100	400000	0	93628788	24345226	1498706	0	0	0	0	0.005541	0.004545	0.010429	0.012187	0.016092	0.029374	0.089736	0.193319	327299	72701	0	1.04E+11	1.04E+11	11730.46564	1.599235119	12.33568423
2000	1999.999	100	400000	0	93628779	24345227	1498707	0	0	0	0	0.005571	0.004592	0.010438	0.012183	0.016086	0.029472	0.087657	0.192045	327299	72701	0	1.04E+11	1.04E+11	11782.92734	1.621512354	12.349616
2000	1999.999	100	400000	0	93628799	24345227	1498707	0	0	0	0	0.005533	0.004546	0.010412	0.012148	0.016045	0.029305	0.088439	0.189893	327299	72701	0	1.04E+11	1.04E+11	11739.26219	1.603766035	12.31521361
AVG	1999.999	100	400000	0	93628789	24345227	1498707	0	0	0	0	0.005548	0.004561	0.010426	0.012173	0.016074	0.029384	0.088611	0.191752	327299	72701	0	1.04E+11	1.04E+11	11750.88506	1.60817117	12.33350461
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
6000	5999.99	100	400000	0	93628782	24345231	1498707	0	0	0	0	0.005678	0.00467	0.010737	0.012582	0.01682	0.030923	0.090327	0.20166	327299	72701	0	1.04E+11	1.04E+11	34878.97333	5.484189647	38.41892609
6000	5999.993	100	400000	0	93628780	24345234	1498707	0	0	0	0	0.005692	0.004678	0.01077	0.012611	0.016929	0.030891	0.092169	0.201822	327299	72701	0	1.04E+11	1.04E+11	34427.92296	5.403932102	37.48498696
6000	5999.989	100	400000	0	93628760	24345225	1498707	0	0	0	0	0.005673	0.004666	0.010743	0.012582	0.016843	0.031045	0.091649	0.195167	327299	72701	0	1.04E+11	1.04E+11	34419.84228	5.529370967	38.07596071
AVG	5999.991	100	400000	0	93628774	24345230	1498707	0	0	0	0	0.005681	0.004671	0.01075	0.012592	0.016864	0.030953	0.091382	0.19955	327299	72701	0	1.04E+11	1.04E+11	34575.57952	5.472497572	37.99329125
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
7000	6999.988	100	400000	0	93628753	24345225	1498705	0	0	0	0	0.00604	0.004932	0.01144	0.013491	0.018322	0.033404	0.098077	0.21427	327298	72702	0	1.04E+11	1.04E+11	40239.19779	6.522084752	47.59867576
7000	6999.993	100	400000	0	93628790	24345222	1498706	0	0	0	0	0.006018	0.004918	0.011395	0.013449	0.018224	0.033163	0.099199	0.220931	327298	72702	0	1.04E+11	1.04E+11	39381.03497	6.67748311	46.62025955
7000	6999.991	100	400000	0	93628757	24345221	1498706	0	0	0	0	0.006024	0.004919	0.011422	0.013474	0.018318	0.033394	0.096927	0.243536	327298	72702	0	1.04E+11	1.04E+11	39806.90192	6.557704297	48.24885391
AVG	6999.99	100	400000	0	93628767	24345223	1498706	0	0	0	0	0.006027	0.004923	0.011419	0.013471	0.018288	0.03332	0.098068	0.226246	327298	72702	0	1.04E+11	1.04E+11	39809.0449	6.585757386	47.48926307
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
9700	9684.462	99.84	399360	0	93457867	24303371	1496265	0	640	0	0	0.009854	0.008035	0.018879	0.022757	0.031952	0.053556	0.116334	0.32551	326766	73234	0	1.04E+11	1.04E+11	54029.33727	10.53436811	89.37667645
9700	9671.245	99.70375	398815	0	93328476	24269511	1494349	0	1185	0	0	0.009889	0.008009	0.019099	0.023113	0.032766	0.053959	0.115372	0.341856	326328	73672	0	1.04E+11	1.04E+11	53813.04086	10.27971276	86.67278515
9700	9688.19	99.8785	399514	0	93494186	24310698	1496860	0	486	0	0	0.009649	0.007852	0.018526	0.022291	0.031395	0.053648	0.119814	0.316387	326884	73116	0	1.04E+11	1.04E+11	53492.75196	10.43807028	87.92588156
9700	9682.371	99.8185	399274	0	93447314	24301985	1496040	0	726	0	0	0.009785	0.007938	0.018862	0.022776	0.032157	0.05361	0.117528	0.317363	326706	73294	0	1.04E+11	1.04E+11	53703.66391	10.24764005	87.29810299
9700	9655.879	99.5455	398182	0	93192402	24233201	1492063	0	1818	0	0	0.010438	0.008471	0.020315	0.024826	0.034522	0.056409	0.119467	0.322986	325845	74155	0	1.04E+11	1.04E+11	54475.19895	10.03245168	88.9617211
AVG	9676.429	99.75725	399029	0	93384049	24283753	1495115	0	971	0	0	0.009923	0.008061	0.019136	0.023153	0.032558	0.054236	0.117703	0.32482	326505.8	73494.2	0	1.04E+11	1.04E+11	53902.79859	10.30644858	88.04703345
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
mpi_1115	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Step Capacity	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
9300	9299.964	100	400000	0	93628788	24345219	1498700	0	0	0	0	0.007076	0.005619	0.013815	0.01642	0.022652	0.042798	0.109436	0.324077	327293	72707	0	1.04E+11	1.04E+11	53435.93504	9.819783564	70.61836935
9500	9499.976	100	400000	0	93628780	24345221	1498700	0	0	0	0	0.007267	0.005782	0.01413	0.016846	0.023168	0.04411	0.108557	0.308348	327292	72708	0	1.04E+11	1.04E+11	54580.73614	10.05867373	77.36918029
9600	9599.976	100	400000	0	93628785	24345222	1498700	0	0	0	0	0.007344	0.00584	0.014317	0.01703	0.023628	0.044658	0.108579	0.302013	327292	72708	0	1.04E+11	1.04E+11	54524.08909	10.06147413	78.04769681
9700	9699.977	100	400000	0	93628813	24345221	1498700	0	0	0	0	0.007583	0.006058	0.014694	0.017534	0.023993	0.045289	0.110338	0.308871	327293	72707	0	1.04E+11	1.04E+11	56056.28302	10.37639979	77.84415628
9800	9796.62	99.96575	399863	0	93585959	24335992	1498176	0	137	0	0	0.007828	0.006246	0.015239	0.01808	0.025359	0.047327	0.110592	0.315693	327176	72824	0	1.04E+11	1.04E+11	56131.53057	10.4258861	81.00302346
9900	9899.535	99.9955	399982	0	93626094	24344075	1498630	0	18	0	0	0.008033	0.006464	0.015526	0.018435	0.025749	0.048689	0.113646	0.317322	327276	72724	0	1.04E+11	1.04E+11	56529.14473	10.80697786	80.90326889
10000	9997.446	99.97475	399899	0	93603606	24339008	1498307	0	101	0	0	0.008402	0.006845	0.016179	0.019248	0.026928	0.049784	0.112982	0.323734	327206	72794	0	1.04E+11	1.04E+11	56771.83492	10.90199402	86.27642803
10100	10090.89	99.91	399640	0	93530056	24321694	1497403	0	360	0	0	0.008889	0.007226	0.017058	0.020306	0.02846	0.052152	0.114312	0.329068	327001	72999	0	1.04E+11	1.04E+11	56640.14651	11.59212541	87.12388976
10200	10186.51	99.868	399472	0	93498540	24310834	1496725	0	528	0	0	0.009489	0.007877	0.017969	0.0213	0.029289	0.053134	0.119121	0.330794	326855	73145	0	1.04E+11	1.04E+11	57173.6097	11.16037452	88.34187362
10300	10258.65	99.59875	398395	0	93200333	24240515	1492743	0	1605	0	0	0.010623	0.009117	0.019776	0.02335	0.031894	0.056919	0.119078	0.357944	325989	74011	0	1.04E+11	1.04E+11	56570.08662	11.76540332	87.32117095
